title,artist_id,artist_name,audio_url,video_url,cover_image_url,duration_seconds,genres,motifs,description,spotify_link,youtube_link,soundcloud_link,apple_music_link,open_for_collab,collab_type,total_listens,completed_listens,praise_count,neutral_count,constructive_count,total_votes,boost_credits,boost_expires,has_exclusive_content,unlock_price,exclusive_content_url,exclusive_content_type,is_active,ai_analysis,id,created_date,updated_date,created_by_id,created_by,is_sample
"KiLLiN EViL","690571d8f03b90351de98139","GONEFUBAR","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/c6b325387_KiLLiNEViL.m4a","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/474a25c58_EB063BEF-AB33-4F5B-8794-5131137D5BCA.jpeg","166.34850340136055","[""Hip Hop"",""Alternative"",""Trap""]","[""dark""]","UNRELEASED ","","","https://on.soundcloud.com/AjIZsxX23h8d45CufD","","false","","0","0","0","0","0","51","0","","false","","","","true","","690895db5eb40ff29b1e7dd2","2025-11-03T11:45:31.740000","2025-11-08T05:39:42.308000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"3 days no sleep","6909929d576c2c79dfd92a47","Young Death","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/3c3d65e13_3daysnosleep.m4a","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/5d074b383_YDbro.jpg","180","[""Hip Hop"",""alt rap""]","[""moody"",""melancholic"",""cathartic""]","“3 Days No Sleep” is a spiraling descent into insomnia, paranoia, and emotional erosion. The guitars grind like rusted gears, looping in hypnotic patterns that mirror the mental static of sleep deprivation. Percussion hits like a heartbeat on the edge—erratic, pulsing, and desperate to break free.

Vocals are raw and frayed, delivered with a haunted clarity that feels both intimate and unhinged. The lyrics read like a fever journal: fragmented memories, whispered regrets, and defiant declarations stitched into a sonic blackout. There’s a sense of time collapsing—verses blur into choruses, and the bridge feels like a breakdown caught on tape.

The mix is intentionally claustrophobic. Reverb smears the edges, distortion bleeds into silence, and every sound feels like it’s echoing off the walls of a sleepless mind. It’s not just a song—it’s a broadcast from the edge of consciousness.","","","","","false","","2","1","1","0","0","34","0","","false","","","","true","","690895db5eb40ff29b1e7dcd","2025-11-03T11:45:31.740000","2025-11-08T16:17:07.688000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"Fugitives","6906f98485d3d7007a382374","Kreed","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/9ec299096_Fugitive.mp3","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/dca731410_ChatGPTImageNov2202501_23_30AM.png","203.102042","[""Dubstep"",""Electronic""]","[""explosive"",""anxious""]","yurr wee woo wee woo type shi","","","https://soundcloud.com/kreed-music/fugitives?si=73eaf877e40942d8b915256b97fc15e9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","","false","","1","1","0","0","1","33","0","","false","","","","true","","690895db5eb40ff29b1e7dd3","2025-11-03T11:45:31.740000","2025-11-08T16:20:38.648000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"Void","69056a7822f8d8602b8a5bef","Whitey","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/51e72f3f2_voidMasteredwithThunderat100pct.m4a","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/9d85f69f1_Copilot_20251025_214132.png","154.99054875283446","[""Goth Rock"",""Alternative""]","[""chill"",""moody"",""melancholic"",""minimal""]","“Void” is a descent into grayscale emotion and haunted distortion. Driven by cavernous guitars and spectral reverb, Young Death channels isolation into a ritual of sound—where every chord feels like a cracked mirror and every lyric like a whispered confession. The vocals drift between numb and defiant, echoing through a sonic abyss that refuses resolution. This isn’t just goth rock—it’s a broadcast from the edge of meaning.","","","","","false","","3","3","3","0","0","41","0","","false","","","","true","","690895db5eb40ff29b1e7dcb","2025-11-03T11:45:31.740000","2025-11-08T05:35:58.987000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"trust no one","6909929d576c2c79dfd92a47","Young Death","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/0ddf105aa_trustnooneMP3.mp3","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/1f824888f_YDartfs.jpg","205.368","[""Trap Metal""]","[""Angry"",""Esoteric"",""moody"",""angsty""]","A cryptic anthem for the betrayed and the vigilant. “Trust No One” drips with paranoia, courtroom tension, and collapse-core cadence. Young Death delivers syllable-dense verses over a haunted trap pulse, mutating loyalty into a verdict and every hook into a warning.","","","","","false","","1","2","2","0","0","48","0","","false","","","","true","","690895db5eb40ff29b1e7dca","2025-11-03T11:45:31.740000","2025-11-08T05:35:26.288000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"SLICK","6906f98485d3d7007a382374","Kreed","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/30a7eb0a7_Kreed-Slick.wav","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/78b0b3574_ScreenShot2025-11-02at10939AM.png","211.207415","[""Dubstep"",""Electronic""]","[""haunted"",""anxious"",""energetic""]","rawr rawr ","","","https://soundcloud.com/kreed-music/slick?si=bf08c0a2edc64df1a5b36289e9d52268&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","","false","","0","0","0","0","0","37","0","","false","","","","true","","690895db5eb40ff29b1e7dd4","2025-11-03T11:45:31.740000","2025-11-08T05:40:09.728000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"MERCY","690a19b80da70201a2f73f9e","Fundrip","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/af657914f_Mercy.wav","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/c7454392c_ScreenShot2025-11-01at11833AM.png","106.64424","[""Hip Hop""]","[""chill"",""moody"",""sad"",""haunted"",""raw"",""minimal""]","was a dark dark time n really not much light since","","https://youtu.be/JSj9-tnAAhM?si=C6BJyRGN0qUYVwzQ","https://soundcloud.com/fundrip/mercy?si=8817373321574e1bb0689fe65be0549c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","","false","","2","1","1","0","0","37","0","","false","","","","true","","690895db5eb40ff29b1e7dd0","2025-11-03T11:45:31.740000","2025-11-08T05:39:22.666000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"100 Bad Habits","6906183de25d76a578df9ca9","Net$u","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/7cf261af4_100BadHabits1.wav","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/2e2f7b26d_3a9a5e1c-6fa7-49fa-bd5a-4a86d607ac7d-1_all_197557.jpg","124.244479","[""Hip Hop"",""Trap""]","[""angry"",""vengeful"",""defiant"",""dark"",""raw"",""violent""]","This track was heavily inspired by the modern kings of the dark underground, $B and other artists under their G59 umbrella. It's an ode to addiction and cyclical behavior. Within the lyrical content I wanted to embody this wild idea of having ""100 bad habits"" which are all masked by the glamour and indulgences of life. The eerie tone of the song almost makes you reconsider it's message, forcing discomfort and self analysis.","https://spotify.link/C3S7yKoxWXb","","","","false","","1","0","0","0","0","46","0","","false","","","","true","","690895db5eb40ff29b1e7dd1","2025-11-03T11:45:31.740000","2025-11-08T07:30:03.636000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"dye hoar","6909929d576c2c79dfd92a47","Young Death","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/13bffa61d_dyehoar.m4a","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/030539cc0_IMG_1979.HEIC","159.6","[""Trap Metal"",""alt rap"",""dark trap"",""punk rap""]","[""angry"",""moody"",""energetic"",""raging"",""vengeful"",""numb"",""defiant"",""explosive"",""chaotic"",""dark"",""raw"",""violent"",""distorted""]","“Dye Hoar” is a sonic autopsy—equal parts venom and velvet. The track opens like a ritual wound: slow, sludgy guitars dripping with reverb and rot, while the drums stagger like a body trying to stay upright. It’s gothic, industrial, and unrepentantly filthy—built for the kind of listener who finds beauty in corrosion.

Vocals are snarled and spectral, weaving between lust and loathing. The lyrics feel like cursed scripture: “You wore my blood like blush”, “Every kiss was a needle.” There’s no redemption here—just the slow unraveling of a toxic muse who weaponized desire and left nothing but bruises and overdraft fees.

The chorus hits like a relapse: melodic enough to haunt, jagged enough to scar. The bridge is pure collapse—distorted whispers, broken promises, and a bassline that sounds like it’s dragging a body through gravel.","","https://youtu.be/9Ox0UBsf320?si=dw5hFacmWovJk-dP","https://soundcloud.com/youngdeadenterprise/dye-hoar?si=bfef3ef1dc724a65b80b36bf0db2cc14&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","","false","","0","0","0","0","0","44","0","2025-11-04 06:23:50.43+00","false","","","","true","","690895db5eb40ff29b1e7dcf","2025-11-03T11:45:31.740000","2025-11-08T05:39:11.639000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
"FROM THE PiT$","690571d8f03b90351de98139","GONEFUBAR","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/6f33e599f_FROMDAPiT.m4a","","https://base44.app/api/apps/6904b6d46257f14ce2e4440b/files/public/6904b6d46257f14ce2e4440b/952fc9bf3_EB063BEF-AB33-4F5B-8794-5131137D5BCA.jpeg","157.8579365079365","[""Hip Hop"",""Alternative"",""Trap""]","[]","unreleased ","","","","","false","","4","3","3","0","0","39","0","","false","","","","true","","690895db5eb40ff29b1e7dcc","2025-11-03T11:45:31.740000","2025-11-08T05:38:36.462000","69083db69ccd1df29c9359c9","knoedlerjosiahd@gmail.com","false"
